Version,Timestamp,Simuliertes Scenario,Steps,Flocking,Konsens,Fertige Fahrzeuge,Nicht fertige Fahrzeuge,Emergency Brakes,Kollisionen,min Zeit,avg Zeit,maxZeit,avg Distanz,sum Distanz,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,FLOCKING_DEACTIVATION_COOLDOWN,NEIGHBOR_RADIUS_FOR_TRAFFIC,MAX_MIN_DISTANCE_DIFF,COHESION_MINIMUM_UTILIZATION_OFFSET_ON_NEW_LANE,COHESION_LANE_CHANGE_COOLDOWN,seperationPercentageWhenAligmentAcellarate
eval 3,2024-11-27T21:12:45.511578,ENDE_VON_ZWEI_SPUREN,300,true,true,117,223,278,26,69.0,126.47863247863248,189.0,1515.9597455006333,513910.3537247147,min:1  avg:20.91304347826087  max:72,min:1  avg:20.129310344827587  max:74,min:1  avg:49.43989769820972  max:124,min:1  avg:9.2421875  max:69,60.0,40.0,1.2,1.2,10,0.2
eval 3,2024-11-27T21:15:37.748604,ENDE_VON_ZWEI_SPUREN,300,true,true,101,237,171,27,66.0,142.32673267326732,209.0,1438.7339877575505,484853.35387429455,min:1  avg:27.913793103448278  max:126,min:1  avg:23.571428571428573  max:87,min:1  avg:51.26478149100257  max:134,min:1  avg:9.906542056074766  max:82,60.0,40.0,1.2,1.2,10,0.4
eval 3,2024-11-27T21:18:32.872988200,ENDE_VON_ZWEI_SPUREN,300,true,true,100,252,129,20,70.0,146.05,216.0,1376.8381354730102,484647.0236864996,min:1  avg:28.804532577903682  max:124,min:1  avg:21.385057471264368  max:116,min:1  avg:51.75447570332481  max:152,min:1  avg:10.579831932773109  max:106,60.0,40.0,1.2,1.2,10,0.6000000000000001
eval 3,2024-11-27T21:21:02.648588400,ENDE_VON_ZWEI_SPUREN,300,true,true,115,217,142,29,71.0,138.3304347826087,211.0,1490.9882003021735,493517.09430001944,min:1  avg:24.563253012048193  max:92,min:1  avg:22.31419939577039  max:110,min:1  avg:48.861256544502616  max:123,min:1  avg:9.820512820512821  max:71,60.0,40.0,1.2,1.2,10,0.8
eval 3,2024-11-27T21:23:35.746790800,ENDE_VON_ZWEI_SPUREN,300,true,true,102,237,200,29,68.0,141.58823529411765,238.0,1406.2511423034591,475312.8860985692,min:1  avg:25.73389355742297  max:100,min:1  avg:23.521489971346703  max:102,min:1  avg:47.47222222222222  max:126,min:1  avg:10.710743801652892  max:114,60.0,40.0,1.2,1.2,20,0.2
eval 3,2024-11-27T21:26:11.280494900,ENDE_VON_ZWEI_SPUREN,300,true,true,98,234,181,31,72.0,145.20408163265307,212.0,1384.4325065997214,459631.5921911075,min:1  avg:26.82  max:117,min:1  avg:22.47142857142857  max:94,min:2  avg:50.87212276214834  max:135,min:1  avg:10.098360655737705  max:79,60.0,40.0,1.2,1.2,20,0.4
eval 3,2024-11-27T21:28:51.354059300,ENDE_VON_ZWEI_SPUREN,300,true,true,109,235,162,25,69.0,143.3302752293578,209.0,1457.8285381839237,501493.01713526977,min:1  avg:25.655072463768114  max:117,min:1  avg:22.988338192419825  max:84,min:2  avg:52.73724489795919  max:130,min:1  avg:11.104347826086956  max:71,60.0,40.0,1.2,1.2,20,0.6000000000000001
eval 3,2024-11-27T21:31:31.007254600,ENDE_VON_ZWEI_SPUREN,300,true,true,111,240,127,23,66.0,141.67567567567568,210.0,1436.3052757787711,502706.8465225699,min:1  avg:27.782608695652176  max:121,min:1  avg:23.92463768115942  max:92,min:1  avg:52.70379746835443  max:125,min:1  avg:10.405405405405405  max:163,60.0,40.0,1.2,1.2,20,0.8
eval 3,2024-11-27T21:34:02.599538800,ENDE_VON_ZWEI_SPUREN,300,true,true,110,225,201,33,71.0,132.38181818181818,212.0,1483.8823944095257,497100.6021271911,min:1  avg:23.461111111111112  max:102,min:1  avg:20.898591549295773  max:90,min:2  avg:49.17171717171717  max:131,min:1  avg:10.159663865546218  max:72,60.0,40.0,1.2,1.2,30,0.2
eval 3,2024-11-27T21:36:41.397498600,ENDE_VON_ZWEI_SPUREN,300,true,true,103,236,165,29,71.0,140.44660194174756,214.0,1419.6641702446846,481266.153712948,min:1  avg:26.055555555555557  max:123,min:1  avg:20.198863636363637  max:95,min:1  avg:52.5367088607595  max:128,min:1  avg:10.246031746031745  max:71,60.0,40.0,1.2,1.2,30,0.4
