Version,Timestamp,Simuliertes Scenario,Steps,Flocking,Konsens,Fertige Fahrzeuge,Nicht fertige Fahrzeuge,Emergency Brakes,Kollisionen,min Zeit,avg Zeit,maxZeit,avg Distanz,sum Distanz,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,FLOCKING_DEACTIVATION_COOLDOWN,NEIGHBOR_RADIUS_FOR_TRAFFIC,MAX_MIN_DISTANCE_DIFF,COHESION_MINIMUM_UTILIZATION_OFFSET_ON_NEW_LANE,COHESION_LANE_CHANGE_COOLDOWN,seperationPercentageWhenAligmentAcellarate
eval 2,2024-11-27T21:12:27.100803600,ENDE_VON_ZWEI_SPUREN,300,true,true,98,233,161,31,68.0,142.22448979591837,209.0,1447.5544444604984,477692.96667196444,min:1  avg:27.298882681564248  max:123,min:1  avg:22.52449567723343  max:92,min:1  avg:48.57179487179487  max:129,min:1  avg:11.666666666666666  max:131,40.0,40.0,1.2,1.2,10,0.2
eval 2,2024-11-27T21:14:59.306868900,ENDE_VON_ZWEI_SPUREN,300,true,true,111,219,180,32,70.0,133.22522522522522,211.0,1478.2545676754398,487824.0073328951,min:1  avg:25.0  max:119,min:1  avg:20.703812316715542  max:104,min:2  avg:47.56153846153846  max:117,min:1  avg:9.653225806451612  max:70,40.0,40.0,1.2,1.2,10,0.4
eval 2,2024-11-27T21:17:37.458118,ENDE_VON_ZWEI_SPUREN,300,true,true,106,233,128,29,70.0,135.4811320754717,205.0,1434.6134620637488,484899.3501775471,min:1  avg:23.334269662921347  max:109,min:1  avg:21.396067415730336  max:78,min:1  avg:48.34771573604061  max:156,min:1  avg:11.393939393939394  max:70,40.0,40.0,1.2,1.2,10,0.6000000000000001
eval 2,2024-11-27T21:20:17.891236400,ENDE_VON_ZWEI_SPUREN,300,true,true,97,240,148,30,69.0,143.0721649484536,217.0,1401.2321180102601,472215.22376945766,min:1  avg:24.412103746397694  max:105,min:1  avg:21.155807365439095  max:84,min:1  avg:55.22784810126582  max:131,min:1  avg:11.817307692307692  max:81,40.0,40.0,1.2,1.2,10,0.8
eval 2,2024-11-27T21:22:52.268533900,ENDE_VON_ZWEI_SPUREN,300,true,true,89,232,176,38,71.0,151.58426966292134,216.0,1400.266233093541,448085.1945899331,min:1  avg:27.0  max:131,min:1  avg:20.94705882352941  max:99,min:1  avg:49.84848484848485  max:125,min:1  avg:11.009803921568627  max:77,40.0,40.0,1.2,1.2,20,0.2
eval 2,2024-11-27T21:25:29.651798700,ENDE_VON_ZWEI_SPUREN,300,true,true,99,235,106,28,70.0,143.62626262626262,215.0,1451.3311445128554,483293.27112278086,min:1  avg:26.04899135446686  max:114,min:1  avg:21.844827586206897  max:103,min:1  avg:50.12403100775194  max:135,min:1  avg:10.683673469387756  max:70,40.0,40.0,1.2,1.2,20,0.4
eval 2,2024-11-27T21:28:10.063447500,ENDE_VON_ZWEI_SPUREN,300,true,true,93,252,204,25,70.0,146.29032258064515,220.0,1385.0234320701738,477833.08406420995,min:1  avg:27.84225352112676  max:111,min:1  avg:23.05586592178771  max:93,min:1  avg:53.18112244897959  max:139,min:1  avg:10.68141592920354  max:77,40.0,40.0,1.2,1.2,20,0.6000000000000001
eval 2,2024-11-27T21:30:47.237285,ENDE_VON_ZWEI_SPUREN,300,true,true,99,248,116,24,70.0,148.010101010101,221.0,1389.8451163697584,480886.41026393644,min:1  avg:27.171091445427727  max:109,min:1  avg:23.292397660818715  max:96,min:1  avg:54.43112244897959  max:131,min:1  avg:10.942857142857143  max:76,40.0,40.0,1.2,1.2,20,0.8
eval 2,2024-11-27T21:33:31.882161500,ENDE_VON_ZWEI_SPUREN,300,true,true,106,233,184,30,70.0,147.5,219.0,1427.230278366509,482403.83408788004,min:1  avg:28.15028901734104  max:116,min:1  avg:21.12680115273775  max:89,min:2  avg:54.11392405063291  max:141,min:1  avg:11.057692307692308  max:85,40.0,40.0,1.2,1.2,30,0.2
eval 2,2024-11-27T21:36:02.876987500,ENDE_VON_ZWEI_SPUREN,300,true,true,107,223,175,33,68.0,139.86915887850466,216.0,1466.730262229863,482554.25627362495,min:1  avg:25.420749279538907  max:123,min:1  avg:19.54985754985755  max:92,min:1  avg:49.41772151898734  max:128,min:1  avg:9.598360655737705  max:69,40.0,40.0,1.2,1.2,30,0.4
