vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,347,Car,FINISHED,685,1032,2792.5843137250477,0,
normal_2.296,236,Car,FINISHED,853,1089,2763.8475147902977,0,
normal_0.202,331,Car,FINISHED,679,1010,2790.508994286833,0,
normal_2.295,238,Car,FINISHED,850,1088,2790.8349292462485,0,
normal_0.201,396,Car,FINISHED,676,1072,2775.764893047178,0,
normal_2.294,248,Car,FINISHED,846,1094,2773.3272514645914,0,
normal_0.200,342,Car,FINISHED,669,1011,2777.4065718652137,0,
normal_2.293,239,Car,FINISHED,843,1082,2780.6338944739555,0,
normal_2.299,234,Car,FINISHED,863,1097,2787.1526364830497,0,
normal_2.298,232,Car,FINISHED,860,1092,2783.799586882129,0,
normal_2.297,242,Car,FINISHED,857,1099,2774.546360154538,0,
normal_1.248,348,Car,FINISHED,659,1007,2776.9568600227904,0,
normal_2.292,246,Car,FINISHED,840,1086,2775.092270649463,0,
normal_1.247,123,Car,FINISHED,655,778,2768.5738067430657,0,
normal_2.291,242,Car,FINISHED,836,1078,2773.5476101861714,0,
normal_2.290,243,Car,FINISHED,833,1076,2763.7873257101955,0,
normal_1.249,536,Car,NOT_SYNCHRONIZED,663,1199,1407.4656938434832,0,
normal_1.255,117,Car,FINISHED,677,794,2764.7883684645867,0,
normal_1.254,128,Car,FINISHED,674,802,2781.586670028514,0,
normal_1.257,127,Car,FINISHED,680,807,2771.2476737462684,0,
normal_1.256,521,Car,NOT_SYNCHRONIZED,678,1199,1398.8896692103524,0,
normal_1.251,140,Car,FINISHED,668,808,2779.2405966780866,0,
normal_1.250,124,Car,FINISHED,665,789,2770.6291862424446,0,
normal_1.253,343,Car,FINISHED,672,1015,2786.9816858974145,0,
normal_1.252,121,Car,FINISHED,670,791,2786.142247535032,0,
normal_0.214,373,Car,FINISHED,734,1107,2783.0897812051285,0,
normal_2.285,253,Car,FINISHED,815,1068,2775.555484581239,0,
normal_0.213,298,Car,FINISHED,732,1030,2786.9005261368543,0,
normal_2.284,254,Car,FINISHED,812,1066,2765.6322901296676,0,
normal_0.212,352,Car,FINISHED,726,1078,2763.438652199674,0,
normal_2.283,260,Car,FINISHED,809,1069,2780.274345012164,0,
normal_0.211,357,Car,FINISHED,723,1080,2787.2081286861894,0,
normal_2.282,259,Car,FINISHED,806,1065,2794.7709363381505,0,
normal_0.210,482,Car,NOT_SYNCHRONIZED,717,1199,1664.9182599018995,0,
normal_2.289,247,Car,FINISHED,829,1076,2771.476963585864,0,
normal_2.288,244,Car,FINISHED,826,1070,2770.0290985333554,0,
normal_2.287,252,Car,FINISHED,823,1075,2793.58999513375,0,
normal_2.286,255,Car,FINISHED,819,1074,2781.3580016030714,0,
normal_1.237,383,Car,FINISHED,620,1003,2776.356038892958,0,
normal_2.281,260,Car,FINISHED,803,1063,2785.574141072514,0,
