vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_1.262,224,Car,FINISHED,655,879,2358.0269299043553,0,
normal_1.261,346,Car,FINISHED,653,999,2338.069082726762,1,
normal_1.264,172,Car,FINISHED,660,832,2351.4962646320882,0,
normal_1.263,193,Car,FINISHED,658,851,2339.8017146747493,0,
normal_1.260,263,Car,FINISHED,650,913,2354.980825798259,0,
normal_0.229,306,Car,FINISHED,574,880,2340.5531653887633,0,
normal_0.228,173,Car,FINISHED,571,744,2349.236254432197,1,
normal_0.227,269,Car,COLLIDED,570,839,1161.5281291402184,0,
normal_0.226,151,Car,FINISHED,566,717,2357.8057927280875,0,
normal_2.252,181,Car,FINISHED,630,811,2344.3865371885227,1,
normal_2.251,184,Car,FINISHED,628,812,2340.2710865250383,1,
normal_2.250,185,Car,FINISHED,625,810,2358.0054600783787,0,
normal_2.256,348,Car,FINISHED,640,988,2341.251076826062,1,
normal_2.255,343,Car,FINISHED,638,981,2346.545517341319,0,
normal_2.254,185,Car,FINISHED,635,820,2357.2875950177836,0,
normal_2.253,342,Car,FINISHED,633,975,2334.9155357862805,0,
normal_1.208,297,Car,FINISHED,520,817,2360.8043143649584,0,
normal_1.207,245,Car,FINISHED,518,763,2345.5952441983236,0,
normal_1.449,29,Car,COLLIDED,1159,1188,166.8039181581313,0,
normal_1.209,163,Car,FINISHED,523,686,2344.7551710555763,0,
normal_1.204,282,Car,FINISHED,510,792,2363.4222731255654,0,
normal_1.446,46,Car,OUT_OF_DISTANCE,1153,1199,240.74548630305858,0,
normal_1.203,276,Car,FINISHED,508,784,2365.0944832754462,0,
normal_1.445,48,Car,UNDER_DISTANCE,1151,1199,242.3864234069473,0,
normal_1.206,292,Car,FINISHED,515,807,2362.136323591612,0,
normal_1.448,42,Car,UNDER_DISTANCE,1157,1199,260.00095711868715,0,
normal_1.205,295,Car,FINISHED,513,808,2342.5681796520093,0,
normal_1.447,44,Car,OUT_OF_DISTANCE,1155,1199,224.69949323668348,0,
normal_1.211,17,Car,COLLIDED,528,545,305.63672012301004,0,
normal_1.453,31,Car,IN_DISTANCE,1168,1199,166.17788610314062,0,
normal_1.210,151,Car,FINISHED,525,676,2351.7979294387424,0,
normal_1.452,34,Car,IN_DISTANCE,1165,1199,178.44827050037054,0,
normal_1.213,147,Car,FINISHED,533,680,2367.979333962725,0,
normal_1.455,27,Car,UNDER_DISTANCE,1172,1199,142.85286631636944,0,
normal_1.212,164,Car,FINISHED,530,694,2345.1897104324908,1,
normal_1.454,29,Car,IN_DISTANCE,1170,1199,153.3044473463474,0,
