vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_1.434,109,Car,FINISHED,1086,1195,2770.8984631044596,0,
normal_1.437,106,Car,OUT_OF_DISTANCE,1093,1199,2653.126804003732,0,
normal_1.436,109,Car,UNDER_DISTANCE,1090,1199,2696.976394906096,0,
normal_1.442,94,Car,OUT_OF_DISTANCE,1105,1199,2138.6255828087424,0,
normal_1.441,96,Car,OUT_OF_DISTANCE,1103,1199,2163.9023442360112,0,
normal_1.444,89,Car,UNDER_DISTANCE,1110,1199,1788.8865430923834,0,
normal_1.443,91,Car,IN_DISTANCE,1108,1199,1995.3850058146513,1,
normal_1.440,68,Car,COLLIDED,1100,1168,1438.8869778570804,1,
normal_2.238,117,Car,FINISHED,595,712,2786.675845367161,0,
normal_2.237,123,Car,FINISHED,593,716,2766.566420841722,0,
normal_2.236,38,Car,COLLIDED,590,628,765.0919027139626,0,
normal_2.235,116,Car,FINISHED,588,704,2793.5612396865963,0,
normal_2.239,121,Car,FINISHED,598,719,2763.0594418450655,0,
normal_2.274,122,Car,FINISHED,685,807,2791.579923239486,0,
normal_2.273,119,Car,FINISHED,683,802,2786.790841754222,0,
normal_2.272,115,Car,FINISHED,680,795,2786.1815029859267,0,
normal_2.271,124,Car,FINISHED,678,802,2778.1876410358695,0,
normal_2.278,130,Car,FINISHED,695,825,2794.623674561671,0,
normal_2.277,129,Car,FINISHED,693,822,2796.4506668038102,0,
normal_2.276,128,Car,FINISHED,690,818,2766.2181977463833,1,
normal_2.275,121,Car,FINISHED,688,809,2783.126715892183,0,
normal_2.270,117,Car,FINISHED,675,792,2789.9824249124763,0,
normal_1.468,28,Car,OUT_OF_DISTANCE,1171,1199,638.7340655794873,0,
normal_1.467,30,Car,IN_DISTANCE,1169,1199,703.2787430782087,0,
normal_1.469,25,Car,IN_DISTANCE,1174,1199,580.5290683928135,0,
normal_1.475,9,Car,OUT_OF_DISTANCE,1190,1199,221.34254651298033,0,
normal_1.474,11,Car,IN_DISTANCE,1188,1199,265.32340986671295,0,
normal_1.477,3,Car,NOT_SYNCHRONIZED,1196,1199,77.57258980266369,0,
normal_1.476,6,Car,OUT_OF_DISTANCE,1193,1199,157.00517596248272,0,
normal_1.471,20,Car,IN_DISTANCE,1179,1199,466.131021407157,0,
normal_1.470,23,Car,IN_DISTANCE,1176,1199,532.4464361864381,0,
normal_1.473,15,Car,IN_DISTANCE,1184,1199,344.22915269079215,0,
normal_1.472,17,Car,IN_DISTANCE,1182,1199,373.2179094820983,1,
normal_2.269,117,Car,FINISHED,673,790,2765.888046414141,0,
normal_2.268,119,Car,FINISHED,670,789,2784.6488131596107,0,
normal_2.263,125,Car,FINISHED,658,783,2779.062890303659,0,
normal_2.262,34,Car,COLLIDED,655,689,711.9333462045969,0,
normal_2.261,120,Car,FINISHED,653,773,2788.4320973580125,0,
normal_2.260,52,Car,COLLIDED,650,702,1004.375652257196,0,
normal_2.267,67,Car,COLLIDED,668,735,1304.991904941783,0,
normal_2.266,125,Car,FINISHED,665,790,2769.3871018163914,0,
normal_2.265,125,Car,FINISHED,663,788,2794.1042061013018,0,
normal_2.264,126,Car,FINISHED,660,786,2778.2876112565345,0,
normal_1.457,56,Car,IN_DISTANCE,1143,1199,1279.4885102222472,0,
normal_1.456,59,Car,OUT_OF_DISTANCE,1140,1199,1308.0795132247,0,
normal_1.459,50,Car,OUT_OF_DISTANCE,1149,1199,1135.4875407592308,0,
normal_1.458,54,Car,IN_DISTANCE,1145,1199,1186.3993875401193,1,
normal_1.464,37,Car,UNDER_DISTANCE,1162,1199,848.6252502791635,0,
normal_1.463,40,Car,UNDER_DISTANCE,1159,1199,926.3988544591538,0,
normal_1.466,32,Car,IN_DISTANCE,1167,1199,681.4996408396341,0,
normal_1.465,35,Car,OUT_OF_DISTANCE,1164,1199,791.1264943498629,0,
normal_1.460,48,Car,IN_DISTANCE,1151,1199,1068.3992277052523,0,
normal_1.462,44,Car,IN_DISTANCE,1155,1199,994.6127499690097,0,
normal_1.461,46,Car,IN_DISTANCE,1153,1199,1072.0599487577551,0,
normal_2.259,128,Car,FINISHED,648,776,2772.7368082459598,1,
normal_2.258,56,Car,COLLIDED,646,702,1013.7706930027026,0,
normal_2.257,133,Car,FINISHED,644,777,2791.0662698237056,0,
truck_flow.138,116,Truck,FINISHED,735,851,2767.491229541733,0,
truck_flow.139,122,Truck,FINISHED,741,863,2781.4134166219537,0,
truck_flow.136,122,Truck,FINISHED,723,845,2765.4349275218715,0,
truck_flow.137,119,Truck,FINISHED,729,848,2775.447260189569,1,
normal_2.212,12,Car,COLLIDED,530,542,277.68189648079385,0,
truck_flow.134,122,Truck,FINISHED,714,836,2769.4357573317543,0,
normal_2.211,124,Car,FINISHED,528,652,2772.0651307604917,0,
truck_flow.135,125,Truck,FINISHED,719,844,2785.1038318427036,2,
normal_1.409,112,Car,FINISHED,1023,1135,2781.9487625902093,0,
normal_2.210,122,Car,FINISHED,525,647,2782.740666808347,0,
