vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,146,Car,FINISHED,508,654,4553.4848306957865,0,
normal_2.296,145,Car,FINISHED,741,886,4545.553413217909,0,
normal_0.202,161,Car,FINISHED,505,666,4537.05420005112,0,
normal_2.295,143,Car,FINISHED,738,881,4563.947866578588,0,
normal_0.201,143,Car,FINISHED,503,646,4537.708291172087,0,
normal_2.294,149,Car,FINISHED,735,884,4541.204591792994,0,
normal_0.200,144,Car,FINISHED,500,644,4534.17155512689,0,
normal_2.293,143,Car,FINISHED,733,876,4560.391365878119,1,
normal_2.299,145,Car,FINISHED,748,893,4547.746885671428,0,
normal_2.298,143,Car,FINISHED,746,889,4552.801736444629,0,
normal_2.297,7,Car,COLLIDED,743,750,178.0027371899879,0,
normal_2.292,143,Car,FINISHED,730,873,4544.381981333681,0,
normal_2.291,143,Car,FINISHED,728,871,4564.543284533353,0,
normal_2.290,138,Car,FINISHED,725,863,4537.933132380908,0,
normal_0.214,143,Car,FINISHED,535,678,4543.051987032956,0,
normal_2.285,140,Car,FINISHED,713,853,4552.065474371837,0,
normal_0.213,28,Car,COLLIDED,534,562,748.7402762296597,0,
normal_2.284,148,Car,FINISHED,711,859,4554.899528594688,3,
normal_0.212,145,Car,FINISHED,530,675,4539.94929555691,0,
normal_2.283,132,Car,COLLIDED,708,840,4249.67098797258,0,
normal_0.211,145,Car,FINISHED,529,674,4545.863799426163,1,
normal_2.282,138,Car,FINISHED,705,843,4556.460944249471,0,
normal_0.210,160,Car,FINISHED,525,685,4551.05830800068,0,
normal_2.289,138,Car,FINISHED,723,861,4541.021628612968,0,
normal_2.288,141,Car,FINISHED,720,861,4557.31365960074,1,
normal_2.287,139,Car,FINISHED,718,857,4534.118158082622,1,
normal_2.286,140,Car,FINISHED,715,855,4548.079092104055,0,
normal_2.281,141,Car,FINISHED,703,844,4534.668045149145,0,
normal_1.479,0,Car,UNDER_DISTANCE,1199,1199,0.0,0,
normal_2.280,140,Car,FINISHED,700,840,4542.584229091472,0,
normal_1.478,1,Car,OUT_OF_DISTANCE,1198,1199,33.779000194401306,0,
normal_0.209,145,Car,FINISHED,523,668,4541.354388509127,0,
normal_0.208,145,Car,FINISHED,520,665,4543.8634044760165,0,
normal_2.279,139,Car,FINISHED,698,837,4561.015377362563,0,
normal_0.207,136,Car,COLLIDED,519,655,4248.41652924154,0,
normal_0.206,145,Car,FINISHED,515,660,4564.538543531515,0,
normal_0.205,154,Car,FINISHED,513,667,4538.129011057039,0,
normal_0.204,142,Car,FINISHED,510,652,4536.580030694086,0,
normal_0.225,142,Car,FINISHED,565,707,4552.901554197023,0,
normal_0.224,142,Car,FINISHED,561,703,4542.567487465223,0,
normal_0.223,50,Car,COLLIDED,560,610,1390.3178353810024,0,
